runs,parametros,kl_score,best
4,"{'perplexity': 50, 'n_iter': 1000, 'metric': 'correlation', 'learning_rate': 0.00031622776601683794}",-0.0,"TSNE(learning_rate=0.0022758459260747866, metric='cosine', perplexity=50,
     random_state=4)"
4,"{'perplexity': 50, 'n_iter': 2000, 'metric': 'correlation', 'learning_rate': 0.22758459260747863}",-0.0,"TSNE(learning_rate=0.0022758459260747866, metric='cosine', perplexity=50,
     random_state=4)"
4,"{'perplexity': 35, 'n_iter': 1000, 'metric': 'correlation', 'learning_rate': 0.00026826957952797245}",0.21083611845970154,"TSNE(learning_rate=0.0022758459260747866, metric='cosine', perplexity=50,
     random_state=4)"
4,"{'perplexity': 30, 'n_iter': 1000, 'metric': 'cosine', 'learning_rate': 0.0019306977288832496}",0.3405780911445618,"TSNE(learning_rate=0.0022758459260747866, metric='cosine', perplexity=50,
     random_state=4)"
5,"{'perplexity': 45, 'n_iter': 1000, 'metric': 'correlation', 'learning_rate': 0.2682695795279725}",-0.00040170490310629246,"TSNE(learning_rate=0.01, metric='correlation', n_iter=2000, perplexity=45,
     random_state=5)"
5,"{'perplexity': 40, 'n_iter': 1000, 'metric': 'correlation', 'learning_rate': 0.043939705607607904}",0.09393050968647003,"TSNE(learning_rate=0.01, metric='correlation', n_iter=2000, perplexity=45,
     random_state=5)"
5,"{'perplexity': 45, 'n_iter': 2000, 'metric': 'correlation', 'learning_rate': 0.01}",-0.09164087548851967,"TSNE(learning_rate=0.01, metric='correlation', n_iter=2000, perplexity=45,
     random_state=5)"
5,"{'perplexity': 40, 'n_iter': 2000, 'metric': 'correlation', 'learning_rate': 0.004393970560760791}",0.08915318846702576,"TSNE(learning_rate=0.01, metric='correlation', n_iter=2000, perplexity=45,
     random_state=5)"
5,"{'perplexity': 25, 'n_iter': 5000, 'metric': 'cosine', 'learning_rate': 0.03162277660168379}",0.5007501065731048,"TSNE(learning_rate=0.01, metric='correlation', n_iter=2000, perplexity=45,
     random_state=5)"
5,"{'perplexity': 30, 'n_iter': 2000, 'metric': 'cosine', 'learning_rate': 0.0016378937069540646}",0.3407714247703552,"TSNE(learning_rate=0.01, metric='correlation', n_iter=2000, perplexity=45,
     random_state=5)"
5,"{'perplexity': 20, 'n_iter': 5000, 'metric': 'cosine', 'learning_rate': 0.0007196856730011522}",0.6981449365615845,"TSNE(learning_rate=0.01, metric='correlation', n_iter=2000, perplexity=45,
     random_state=5)"
5,"{'perplexity': 30, 'n_iter': 1000, 'metric': 'cosine', 'learning_rate': 0.022758459260747887}",0.3407714247703552,"TSNE(learning_rate=0.01, metric='correlation', n_iter=2000, perplexity=45,
     random_state=5)"
5,"{'perplexity': 65, 'n_iter': 5000, 'metric': 'correlation', 'learning_rate': 0.07196856730011514}",-0.0,"TSNE(learning_rate=0.01, metric='correlation', n_iter=2000, perplexity=45,
     random_state=5)"
5,"{'perplexity': 30, 'n_iter': 1000, 'metric': 'correlation', 'learning_rate': 0.13894954943731375}",0.3468626797199249,"TSNE(learning_rate=0.01, metric='correlation', n_iter=2000, perplexity=45,
     random_state=5)"
6,"{'perplexity': 40, 'n_iter': 2000, 'metric': 'cosine', 'learning_rate': 0.31622776601683794}",0.09183350652456283,"TSNE(learning_rate=0.0031622776601683794, metric='correlation', n_iter=2000,
     perplexity=45, random_state=6)"
6,"{'perplexity': 25, 'n_iter': 1000, 'metric': 'cosine', 'learning_rate': 0.19306977288832497}",0.5007501065731048,"TSNE(learning_rate=0.0031622776601683794, metric='correlation', n_iter=2000,
     perplexity=45, random_state=6)"
6,"{'perplexity': 55, 'n_iter': 2000, 'metric': 'correlation', 'learning_rate': 0.00016378937069540646}",-0.0,"TSNE(learning_rate=0.0031622776601683794, metric='correlation', n_iter=2000,
     perplexity=45, random_state=6)"
6,"{'perplexity': 40, 'n_iter': 5000, 'metric': 'cosine', 'learning_rate': 0.022758459260747887}",0.09183350652456283,"TSNE(learning_rate=0.0031622776601683794, metric='correlation', n_iter=2000,
     perplexity=45, random_state=6)"
6,"{'perplexity': 60, 'n_iter': 2000, 'metric': 'cosine', 'learning_rate': 0.0005179474679231213}",-0.0,"TSNE(learning_rate=0.0031622776601683794, metric='correlation', n_iter=2000,
     perplexity=45, random_state=6)"
6,"{'perplexity': 45, 'n_iter': 1000, 'metric': 'correlation', 'learning_rate': 0.00022758459260747887}",2.5234600798285102e-06,"TSNE(learning_rate=0.0031622776601683794, metric='correlation', n_iter=2000,
     perplexity=45, random_state=6)"
6,"{'perplexity': 60, 'n_iter': 1000, 'metric': 'cosine', 'learning_rate': 0.001}",-0.0,"TSNE(learning_rate=0.0031622776601683794, metric='correlation', n_iter=2000,
     perplexity=45, random_state=6)"
6,"{'perplexity': 50, 'n_iter': 5000, 'metric': 'cosine', 'learning_rate': 0.061054022965853265}",-0.0,"TSNE(learning_rate=0.0031622776601683794, metric='correlation', n_iter=2000,
     perplexity=45, random_state=6)"
6,"{'perplexity': 45, 'n_iter': 2000, 'metric': 'correlation', 'learning_rate': 0.0031622776601683794}",-0.06381741352379322,"TSNE(learning_rate=0.0031622776601683794, metric='correlation', n_iter=2000,
     perplexity=45, random_state=6)"
6,"{'perplexity': 25, 'n_iter': 2000, 'metric': 'correlation', 'learning_rate': 0.1}",0.508731210231781,"TSNE(learning_rate=0.0031622776601683794, metric='correlation', n_iter=2000,
     perplexity=45, random_state=6)"
7,"{'perplexity': 45, 'n_iter': 5000, 'metric': 'correlation', 'learning_rate': 0.00013894954943731373}",2.5234600798285102e-06,"TSNE(learning_rate=0.008483428982440717, metric='cosine', n_iter=2000,
     perplexity=65, random_state=7)"
7,"{'perplexity': 20, 'n_iter': 5000, 'metric': 'cosine', 'learning_rate': 0.0026826957952797246}",0.6981449365615845,"TSNE(learning_rate=0.008483428982440717, metric='cosine', n_iter=2000,
     perplexity=65, random_state=7)"
7,"{'perplexity': 55, 'n_iter': 5000, 'metric': 'correlation', 'learning_rate': 0.0003727593720314938}",-0.0,"TSNE(learning_rate=0.008483428982440717, metric='cosine', n_iter=2000,
     perplexity=65, random_state=7)"
7,"{'perplexity': 20, 'n_iter': 1000, 'metric': 'correlation', 'learning_rate': 0.1}",0.7079262495040893,"TSNE(learning_rate=0.008483428982440717, metric='cosine', n_iter=2000,
     perplexity=65, random_state=7)"
7,"{'perplexity': 35, 'n_iter': 2000, 'metric': 'correlation', 'learning_rate': 0.007196856730011514}",0.21083611845970154,"TSNE(learning_rate=0.008483428982440717, metric='cosine', n_iter=2000,
     perplexity=65, random_state=7)"
7,"{'perplexity': 25, 'n_iter': 1000, 'metric': 'correlation', 'learning_rate': 0.00016378937069540646}",0.508731210231781,"TSNE(learning_rate=0.008483428982440717, metric='cosine', n_iter=2000,
     perplexity=65, random_state=7)"
7,"{'perplexity': 65, 'n_iter': 2000, 'metric': 'cosine', 'learning_rate': 0.0011787686347935866}",-0.0,"TSNE(learning_rate=0.008483428982440717, metric='cosine', n_iter=2000,
     perplexity=65, random_state=7)"
